text,label
"Hi John, just wanted to check if we are still on for the meeting tomorrow at 10 AM. Let me know if anything changes. Thanks!",0
"Hi Sarah, I just wanted to remind you about the team lunch tomorrow at 1 PM. See you there!",0
"Your package has been shipped and should arrive by Friday. Track it here:",0
"Dear customer, your payment has been successfully received. Thank you for your purchase!",0
"Привіт, Олено! Нагадаю про нашу зустріч завтра о 10:00. Будь ласка, підтверди свою присутність.",0
"Ваше замовлення надіслано. Очікуйте доставку протягом 3-5 робочих днів.",0
"Вітаємо! Оплата за послугу успішно прийнята. Дякуємо, що обрали нас!",0
"Ваше замовлення відправлено. Очікуйте доставку протягом 2-3 днів.",0
"Дякуємо за оплату! Чек надіслано на вашу електронну пошту.",0
"Hello!",0
"How are you?",0
"Привіт, як справи?",0
"Дякуємо за оплату замовлення. Очікуйте відправку протягом 1-2 днів.",0
"Привіт! Нагадую про зустріч завтра о 10:00 у нашому офісі.",0
"Змін у розкладі занять не буде. Гарного дня!",0
"Hi! Just a reminder about our meeting tomorrow at 10 AM.",0
"Your order has been shipped and will arrive within 2–3 business days.",0
"Ваше замовлення підтверджено. Дякуємо за покупку.",0
"Доставка очікується завтра.",0
"Чек на оплату сформовано автоматично. Не відповідайте на це повідомлення",0
"Оплата не пройшла. Підтвердьте дані картки, щоб уникнути блокування.",1
"Для підтвердження особи надішліть номер картки та CVV-код.",1
"Thank you for your payment! Your receipt has been sent to your email.",1
"Ваш акаунт заблоковано через підозрілу активність. Для розблокування перейдіть за посиланням.",1
"Your account has been suspended due to suspicious activity. Please click the link below immediately to verify your identity and avoid permanent suspension: http://fakebank.com/verify",1
"Your bank account will be locked unless you confirm your details immediately at",1
"Warning: Your device has been infected by malware. Click here to download a security patch:",1
"Congratulations! You won a free iPhone. Click the link to claim:",1
"Ваш акаунт тимчасово заблоковано через підозрілу активність. Для розблокування перейдіть за посиланням:",1
"Увага! Ваш комп’ютер заражено вірусом. Завантажте оновлення безпеки:",1
"Ви виграли приз! Натисніть сюди, щоб отримати подарунок:",1
"Your account has been compromised. Immediate action required! Click the link below to reset your password and secure your account.",1
"Urgent: Your payment of $499 has failed. Please update your billing information within 24 hours to avoid service interruption.",1
"Suspicious login detected from an unknown device. Verify your identity now or your account will be locked.",1
"Final warning! Your subscription will be canceled unless you confirm your details immediately.",1
"Your email inbox is almost full. Click here to upgrade your storage and avoid losing important messages.",1
"You have received a security alert. Please login immediately using the link below to review your recent activity.",1
"Ваш акаунт буде назавжди заблоковано через 24 години, якщо ви не підтвердите свої дані негайно. Натисніть посилання нижче.",1
"Терміново: виявлено підозрілу спробу входу у ваш акаунт. Підтвердіть особу, щоб уникнути блокування.",1
"Зафіксовано підозрілу активність на вашому банківському рахунку. Змініть пароль негайно за посиланням.",1
"Оплата не пройшла. Щоб не припинити обслуговування, підтвердіть інформацію про оплату прямо зараз.",1
"Попередження безпеки: ваш пристрій заражено. Завантажте оновлення безпеки тут:",1
